cluster squared mean,qualifying_starting_difference
1.1428571428571428,14
1.2666666666666666,8
1.2222222222222223,0
1.8,0
1.0,58
1.7777777777777777,34
1.2666666666666666,10
1.0,6
1.0,35
2.066666666666667,4
1.8571428571428572,4
1.9411764705882353,8
1.1818181818181819,2
1.1666666666666667,12
1.1538461538461537,38
1.125,4
1.0,68
1.0,62
1.25,40
1.9333333333333333,2
1.0,8
1.3333333333333333,16
1.5,0
1.0,0
1.1818181818181819,12
1.4444444444444444,32
1.25,4
1.7692307692307692,4
1.1333333333333333,4
1.6153846153846154,0
1.375,0
1.2222222222222223,6
1.4615384615384615,4
1.4,0
1.2222222222222223,6
1.1666666666666667,54
1.0,0
1.0,54
1.4444444444444444,2
1.0,4
1.3333333333333333,14
1.4285714285714286,6
1.0,2
1.3333333333333333,2
1.2857142857142858,4
1.2857142857142858,2
1.5454545454545454,2
1.3333333333333333,6
1.3333333333333333,2
1.0,2
1.0,10
1.1666666666666667,20
1.4285714285714286,2
1.0,4
1.1818181818181819,4
1.4615384615384615,4
1.0,4
1.0,6
1.0,16
1.25,6
1.2857142857142858,2
1.8571428571428572,2
1.0,18
1.25,36
1.4,4
1.6666666666666667,0
1.0,4
1.4,10
1.2,0
1.4,0
1.0,4
1.7272727272727273,0
1.0,2
1.4,2
2.0,0
2.5,4
1.0,10
1.5714285714285714,0
1.0,0
1.25,0
1.0,2
1.4615384615384615,8
1.5,2
1.5,4
1.3333333333333333,2
1.0,0
2.3333333333333335,0
1.125,8
1.6666666666666667,20
1.0,0
1.0,4
1.4444444444444444,0
1.2857142857142858,6
1.0,14
1.8888888888888888,6
1.25,0
1.2857142857142858,14
1.3333333333333333,16
1.4210526315789473,4
1.1538461538461537,8
1.4,6
2.5384615384615383,0
1.6666666666666667,2
1.0,12
1.0,2
1.1428571428571428,2
1.4615384615384615,12
1.0,40
1.0,32
1.2222222222222223,12
1.2857142857142858,0
1.0,22
1.2222222222222223,36
1.2,4
1.0,10
1.2222222222222223,6
1.25,2
1.0,16
1.7272727272727273,0
1.0,0
1.0,52
1.375,0
1.5454545454545454,2
1.0,10
1.3333333333333333,2
1.4,24
1.1538461538461537,16
2.6923076923076925,14
1.0,8
1.4,2
1.5,14
1.7058823529411764,26
1.1333333333333333,6
1.4,0
1.0,0
1.5714285714285714,4
8.266666666666667,4
1.3333333333333333,4
1.3636363636363635,2
2.5,10
1.4,2
1.875,2
1.4615384615384615,0
1.0,10
1.1176470588235294,2
1.5,6
1.1666666666666667,10
1.2,2
1.9333333333333333,0
1.0,18
2.2,0
1.4,0
1.8888888888888888,10
3.1176470588235294,12
1.0,16
1.1818181818181819,4
1.4615384615384615,12
1.0,20
1.2857142857142858,0
1.0,4
1.75,6
1.1818181818181819,0
1.5,0
1.8888888888888888,12
1.1818181818181819,6
1.4,20
1.2,34
1.0,12
1.1333333333333333,0
1.0,0
1.0,4
1.25,6
1.0,10
1.0,42
1.75,0
1.1666666666666667,18
2.090909090909091,0
1.2352941176470589,8
1.3333333333333333,0
1.1666666666666667,26
1.2222222222222223,38
1.2666666666666666,2
1.0,6
1.4285714285714286,4
1.2,0
1.4705882352941178,4
1.2857142857142858,32
1.0,16
1.2666666666666666,18
1.2857142857142858,12
1.4,2
2.176470588235294,8
7.166666666666667,16
1.0,0
1.6666666666666667,2
1.2352941176470589,0
1.0,0
1.25,26
1.1818181818181819,0
1.0,10
1.1176470588235294,22
4.5,4
1.25,2
1.1111111111111112,36
1.25,0
1.6666666666666667,6
2.0,40
1.1818181818181819,10
2.176470588235294,0
1.2222222222222223,0
1.2222222222222223,0
1.4705882352941178,0
1.5,2
1.9333333333333333,14
1.2,4
1.1538461538461537,4
1.2857142857142858,2
1.1333333333333333,0
1.2222222222222223,26
1.588235294117647,0
1.1176470588235294,12
1.0,4
1.0,6
1.0,8
1.0,0
1.0,0
1.4210526315789473,10
1.2222222222222223,4
1.5714285714285714,26
2.2857142857142856,12
1.1818181818181819,4
1.6666666666666667,0
1.1666666666666667,0
1.1818181818181819,2
1.9473684210526316,0
1.0,0
1.4615384615384615,0
1.4285714285714286,0
1.0,22
1.1666666666666667,14
1.0,0
1.5333333333333334,0
1.25,14
1.2857142857142858,2
1.0,8
